,gameidx,move
44,3196,"[1, 3, 1, 1, 1]"
45,1583,"[1, 3, 3, 1, 1, 1, 1, 2, 2]"
46,3021,"[3, 1, 1, 1, 1, 1]"
47,729,[]
48,3235,"[1, 1, 1, 1, 1]"
49,434,"[2, 2, 2, 0, 0, 0, 0, 0]"
50,2592,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 0, 3]"
51,2350,"[2, 0, 0, 0, 0, 0]"
52,2588,"[1, 1, 1, 1, 1]"
53,542,"[0, 0, 1, 2, 2, 2, 2, 2, 0, 0, 0]"
54,2600,"[3, 3, 3, 3, 1, 1, 1, 1, 3]"
55,1651,"[0, 0, 0, 0, 0, 1, 3]"
56,628,"[2, 2, 2, 2, 0, 0, 0, 0, 2]"
57,153,"[3, 0, 0, 0, 0, 0]"
58,1624,"[3, 0, 0, 0, 0, 0]"
59,768,"[2, 2, 2, 2, 2, 3, 0, 0, 0, 0]"
60,2430,"[1, 2, 2, 2, 2, 2, 0, 0, 3]"
61,1842,"[2, 0, 0, 0, 0, 2, 2, 2, 2]"
62,1673,"[1, 1, 1, 1, 1]"
63,2324,[]
64,1266,"[1, 1, 1, 1, 2, 2]"
65,2499,"[1, 3, 3, 3, 1, 1, 1, 1]"
66,2662,"[3, 1, 3, 3, 0, 3, 0]"
67,1951,"[1, 1, 2, 2, 2, 2, 2]"
68,2100,"[0, 0, 0, 0, 0, 2, 2, 2, 2]"
69,2625,"[1, 1, 1, 1]"
70,1064,"[2, 0, 0, 2, 0, 0, 3, 3, 0]"
71,1457,"[2, 2, 2, 2]"
72,308,"[2, 2, 2, 2, 0]"
73,2632,"[0, 2, 2, 0, 0, 0]"
74,319,"[0, 0, 2, 0, 0, 3, 3, 3, 0, 3]"
75,1879,"[1, 1, 1, 1, 2]"
76,1096,"[1, 1, 1, 3, 3, 3, 1, 3, 1]"
77,2867,"[3, 3, 1, 3, 3, 1]"
78,1983,"[2, 2, 2, 2, 0, 0, 0, 0, 2]"
79,2880,[]
80,3231,"[3, 3, 3, 3]"
81,2688,"[0, 0, 0, 0, 0, 2, 2, 2]"
82,1646,"[0, 0, 0, 2, 2, 2, 0, 0]"
83,2544,"[2, 2, 2, 2, 2]"
84,1465,"[3, 3, 3, 3, 0, 0, 0, 0, 0]"
85,2130,"[2, 2, 0, 0, 0, 0, 0]"
86,2127,"[1, 3, 3, 3, 3]"
87,228,"[2, 2, 2, 2, 2]"
88,556,"[0, 0, 0, 0, 0]"
89,1706,"[3, 2, 0, 0, 0, 0, 0, 2]"
90,517,"[0, 0, 3, 3, 3, 0, 3]"
91,1748,"[2, 2, 2, 2, 2, 1, 1, 1]"
92,1725,"[0, 0, 0, 3, 3, 3, 3, 0]"
93,1422,"[1, 1, 1, 1, 1, 2, 2, 2, 2]"
94,3086,"[2, 2, 2, 2, 2, 1]"
95,2158,[]
96,2117,"[0, 2, 2, 0, 0, 0, 2, 2, 0]"
97,1633,"[2, 2, 0, 2, 2, 0]"
98,418,"[0, 0, 0, 0]"
99,533,"[1, 1, 2, 2, 2, 2, 2]"
100,2135,"[0, 0, 0, 0, 3, 3, 3, 3]"
101,890,"[0, 0, 0, 0, 3, 3]"
102,3150,"[1, 1, 1, 1, 3, 3]"
103,2469,"[1, 2, 2, 2, 2, 2, 0]"
104,1573,"[1, 1, 1, 2, 2, 1, 1]"
105,1412,"[0, 3, 3, 3, 3, 3]"
106,988,"[1, 1, 1, 1, 3, 3, 3, 3]"
107,2931,"[1, 1, 2, 1, 2, 2, 2, 2]"
108,2181,"[1, 1, 3, 3, 3, 3, 3]"
109,2004,"[3, 3, 1, 1, 1, 1, 1, 2, 2, 2]"
110,2915,"[2, 3, 3, 0, 0, 2, 0, 0, 0, 3]"
111,2803,[]
112,1470,"[3, 1, 1, 3, 3, 3]"
113,3109,"[2, 0, 0, 0, 2, 2, 0, 2]"
114,853,"[2, 2, 2, 2]"
115,1895,"[3, 3, 3, 1, 3, 1, 1, 3]"
116,2422,"[3, 3, 1, 1, 1, 1, 1]"
117,675,"[3, 3, 3, 3, 0, 0]"
118,1687,"[3, 1, 1, 1, 1, 1, 3]"
119,1986,"[3, 3, 0, 0, 3, 3, 3, 1, 1]"
120,1533,"[0, 0, 0, 0]"
121,319,"[1, 2, 1, 2, 1, 1, 2, 2, 2, 0, 0, 0]"
122,2360,"[0, 0, 0, 2, 2, 2, 2]"
123,796,"[3, 3, 3, 3, 0]"
124,2218,"[3, 3, 3, 3, 1, 1]"
125,2615,"[3, 3, 3, 1, 3]"
126,1986,"[3, 0, 0, 0, 0, 0, 2]"
127,1034,[]
128,3273,"[3, 0, 0, 1, 3, 3, 3, 3, 0]"
129,2751,"[2, 2, 2, 2, 0, 0, 0, 0, 2]"
130,3005,"[1, 1, 1, 1, 2]"
131,3118,"[3, 3, 3, 0, 0, 3, 3]"
132,3183,"[3, 3, 1, 1, 1, 1]"
133,3087,"[1, 1, 3, 3, 1, 1, 3]"
134,758,"[3, 0, 0, 0, 0, 0, 2]"
135,569,"[0, 0, 3, 3, 3, 3, 3, 1]"
136,2031,"[2, 2, 2, 2, 0, 0, 0, 0, 0]"
137,287,"[1, 3, 3, 3, 3, 3, 0]"
138,1736,"[0, 0, 3, 3, 3, 3, 3, 0, 0]"
139,649,"[1, 1, 3, 3, 1, 1, 3, 1]"
140,1085,"[2, 2, 2, 2, 1, 1, 2, 1, 1, 1]"
141,143,"[1, 1, 1, 1]"
142,3126,"[3, 3, 3, 3, 1, 1, 3]"
143,2630,[]
144,2125,"[2, 2, 2, 0, 2]"
145,2241,"[3, 3, 3, 3, 0]"
146,620,"[0, 0, 3, 3, 3, 3, 1, 1, 1, 1]"
147,964,"[0, 0, 3, 3, 3, 3]"
148,1078,"[0, 0, 0, 1, 3, 3, 3, 3]"
149,249,"[0, 0, 0, 3, 3, 3, 3, 3]"
150,3227,"[2, 2, 2, 1, 1, 1, 1, 1]"
151,698,"[3, 3, 3, 3, 2, 0, 0, 0, 0, 0]"
152,228,"[2, 2, 2, 0, 0, 0, 0, 2, 2]"
153,3124,"[0, 0, 0, 0, 0]"
154,2600,"[0, 0, 0, 2, 2, 2, 2, 2]"
155,1688,"[2, 2, 3, 1, 1, 1, 1]"
156,2496,"[0, 0, 0, 0, 2, 2, 2, 2, 2]"
157,1242,"[0, 0, 0, 0, 3, 3]"
158,1065,"[2, 2, 2, 2]"
159,2899,[]
160,2754,"[3, 3, 0, 0, 2, 0, 0]"
161,911,"[3, 2, 2, 0, 0, 2, 0, 0]"
162,1053,"[0, 0, 0, 3, 3, 3, 3, 0]"
163,1965,"[3, 3, 3, 3, 3]"
164,1027,"[3, 0, 0, 0, 0, 0]"
165,2864,"[3, 3, 3, 3]"
166,2419,"[1, 1, 1, 1]"
167,3154,"[1, 1, 1, 2, 2, 2, 2, 2, 0]"
168,1899,"[1, 2, 2, 2, 2, 0, 0]"
169,1389,"[3, 3, 0, 0, 0, 0, 0]"
170,2486,"[1, 1, 1, 1, 3]"
171,1186,"[1, 1, 1, 1, 3, 3, 3, 3, 0]"
172,1699,"[1, 1, 2, 2, 1, 1, 1, 2, 2, 2]"
173,1337,"[0, 3, 3, 3, 3, 3]"
174,758,"[1, 2, 2, 2, 2, 2]"
175,3125,[]
176,1297,"[0, 3, 3, 0, 0, 0, 0]"
177,1512,"[3, 3, 3, 1, 1, 1, 1, 1]"
178,2081,"[0, 1, 1, 2, 2, 2, 2]"
179,454,"[0, 0, 0, 0, 0]"
180,1991,"[3, 3, 3, 3]"
181,2664,"[0, 0, 0, 0, 0]"
182,2501,"[3, 1, 1, 1, 1, 1]"
183,2094,"[1, 1, 1, 2, 1, 2]"
184,397,"[2, 0, 2, 0, 0, 0, 0]"
185,3182,"[3, 3, 3, 3, 1, 1, 3]"
186,739,"[1, 1, 1, 1, 2, 2]"
187,1829,"[3, 3, 3, 3, 1, 1]"
188,1534,"[1, 3, 3, 3, 3, 3, 1]"
189,2693,"[1, 1, 1, 1, 1, 2]"
190,1892,"[3, 3, 3, 3, 3, 0, 0]"
191,1226,[]
192,394,"[2, 2, 2, 2, 1, 0, 2, 0, 0, 0]"
193,3008,"[3, 0, 0, 0, 0, 2, 2, 2]"
194,2710,"[0, 0, 2, 2, 2, 2, 2, 0]"
195,2644,"[1, 1, 2, 2, 2, 2]"
196,309,"[2, 0, 0, 0, 2, 0]"
197,841,"[0, 0, 2, 2, 2, 2, 0]"
198,3181,"[3, 1, 1, 1, 3, 3, 1]"
199,654,"[3, 3, 3, 3, 0, 0, 0]"
200,392,"[1, 1, 2, 2, 2, 2]"
201,2236,"[2, 2, 2, 2, 1, 1, 1, 1, 1]"
202,2404,"[1, 3, 3, 3, 3, 3, 0, 0]"
203,1004,"[2, 2, 2, 2, 1, 1, 1, 2]"
204,3247,"[1, 1, 2, 2, 2, 2, 2]"
205,1778,"[1, 1, 1, 1, 3, 3, 3, 3, 3]"
206,2821,"[0, 2, 2, 0, 0, 0, 0, 1]"
207,3195,[]
208,824,"[3, 3, 3, 3, 3, 1]"
209,406,"[0, 2, 2, 2, 0, 0, 0]"
210,1715,"[3, 1, 1, 1, 1, 2, 2, 2, 2, 2]"
211,214,"[1, 2, 2, 2, 2, 0, 2]"
212,1651,"[2, 0, 0, 0, 0]"
213,2501,"[1, 1, 3, 3, 3, 3, 1, 1, 1]"
214,523,"[2, 2, 2, 2, 0, 0]"
215,2152,"[2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 3]"
216,2783,"[3, 3, 3, 3, 3, 1, 1, 1]"
217,2505,"[3, 3, 3, 3, 3, 1, 1, 1]"
218,422,"[2, 1, 1, 1, 1]"
219,3067,"[2, 2, 2, 2, 1, 1, 1, 1, 1]"
220,586,"[3, 3, 3, 3, 1, 1, 1, 1, 1]"
221,58,"[1, 1, 1, 1, 1, 2, 2, 2]"
222,1747,"[0, 0, 2, 0, 0, 0, 3]"
223,3031,[]
224,1175,"[2, 1, 1, 2, 1, 1, 3, 3, 3]"
225,1474,"[2, 2, 2, 2, 2, 1, 1, 1]"
226,469,"[0, 0, 0, 0, 3]"
227,2967,"[0, 0, 2, 2, 2, 2, 2, 0]"
228,2367,"[2, 2, 2, 2, 2, 1]"
229,1017,"[3, 3, 3, 3, 1, 3]"
230,478,"[0, 0, 0, 3, 3, 0]"
231,1331,"[1, 2, 2, 2, 2, 2, 0, 0]"
232,369,"[0, 0, 0, 0, 0]"
233,2559,"[3, 3, 3, 3, 0, 0]"
234,612,"[3, 3, 3, 0, 0, 0, 0, 0, 2, 2]"
235,2428,"[1, 2, 2, 2, 2, 2, 0]"
236,2620,"[1, 1, 1, 3, 3, 3, 3, 3]"
237,3178,"[2, 2, 2, 1, 1, 3, 3, 3, 1, 1, 2, 1, 2, 2, 0]"
238,165,"[2, 2, 2, 2, 2, 1]"
239,1457,[]
240,2092,"[2, 2, 2, 1, 1, 1, 1, 2]"
241,2,"[1, 1, 1, 1, 1]"
242,3048,"[3, 3, 3, 3, 3, 1, 0, 2, 0, 0]"
243,1574,"[3, 3, 3, 3, 3, 1, 1, 1]"
244,1677,"[2, 2, 2, 2, 2]"
245,1899,"[3, 3, 3, 3, 1]"
246,1761,"[3, 3, 0, 0, 0, 0, 0, 2]"
247,2609,"[1, 2, 2, 2, 2, 2, 0, 0, 0, 3]"
248,288,"[0, 0, 0, 2, 0, 0, 3]"
249,821,"[3, 3, 1, 1, 1, 1, 1, 2, 2]"
250,2297,"[3, 3, 3, 3, 0, 0, 0]"
251,70,"[1, 1, 1, 2, 2, 2, 2]"
252,2800,"[2, 2, 2, 2, 2, 0, 0, 0, 0, 3]"
253,3190,"[3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 2]"
254,58,"[1, 1, 1, 1, 2]"
255,1934,[]
256,1295,"[3, 2, 3, 0, 0, 0, 0, 0, 2, 2, 2]"
257,297,"[0, 3, 3, 3, 3, 3, 1]"
258,2851,"[3, 3, 3, 3, 0]"
259,2922,"[3, 3, 3, 3, 1, 1, 1, 1, 1]"
260,694,"[0, 1, 2, 2, 2, 2, 0, 0, 0]"
261,290,"[0, 0, 0, 0, 0]"
262,2213,"[1, 2, 2, 2, 2, 2, 0, 0, 0, 0]"
263,188,"[3, 3, 1, 1, 1, 1]"
264,171,"[3, 3, 3, 3, 0]"
265,228,"[1, 1, 1, 1, 1]"
266,1917,"[2, 2, 2, 2, 2]"
267,2764,"[0, 0, 0, 0]"
268,1438,"[1, 1, 1, 1, 1, 2, 2, 2]"
269,425,"[0, 3, 0, 0, 0, 2]"
270,1877,"[0, 2, 2, 2, 2, 2, 1]"
271,2757,[]
272,1480,"[2, 2, 2, 2, 1]"
273,12,"[2, 0, 0, 0, 0, 3, 3, 3, 0]"
274,1789,"[2, 2, 2, 2, 1, 1]"
275,2919,"[2, 2, 2, 2, 2]"
276,2289,"[3, 3, 3, 3]"
277,2148,"[0, 0, 3, 0, 0, 0, 2, 2]"
278,2773,"[3, 3, 3, 3, 3, 0]"
279,1125,"[2, 2, 0, 2, 2, 1, 2]"
280,420,"[2, 2, 2, 2, 2]"
281,2922,"[1, 1, 1, 3, 3, 3, 3, 1]"
282,2588,"[0, 0, 0, 3, 3, 3, 3, 0]"
283,2179,"[0, 0, 2, 2, 2, 0, 0, 0]"
284,1263,"[3, 3, 3, 0, 3]"
285,2207,"[1, 1, 1, 1, 1, 3]"
286,2752,"[3, 3, 0, 3, 3, 3, 0, 0, 0, 0]"
287,606,[]
288,873,"[2, 0, 0, 0, 0]"
289,1489,"[1, 1, 2, 2, 1, 1, 3]"
290,2882,"[2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 3]"
291,3089,"[2, 2, 2, 2, 0, 0, 0, 0, 0]"
292,1170,"[3, 0, 0, 0, 0, 0]"
293,2264,"[2, 0, 0, 0, 3, 0, 0]"
294,162,"[3, 3, 3, 3, 3, 0, 0, 0, 1, 1, 1, 0, 0]"
295,3067,"[2, 2, 0, 0, 0, 0, 0]"
296,1441,"[3, 3, 1, 1, 1, 1, 1]"
297,3193,"[1, 1, 1, 1, 3]"
298,2176,"[0, 0, 0, 0, 0, 3, 3, 3]"
299,1944,"[1, 1, 3, 3, 3, 3, 0, 0]"
300,260,"[0, 0, 0, 0, 3]"
301,3202,"[1, 2, 2, 1, 1, 1, 3, 3, 1]"
302,861,"[2, 2, 2, 2, 2]"
303,498,[]
304,2009,"[1, 1, 1, 1, 1]"
305,535,"[2, 2, 2, 2, 2, 0, 0]"
306,981,"[0, 2, 2, 2, 2, 1, 1]"
307,846,"[3, 3, 3, 3, 3, 1, 1]"
308,1762,"[3, 1, 1, 3, 3, 3, 0, 0, 0]"
309,1958,"[0, 1, 3, 3, 0, 3, 3, 1]"
310,268,"[2, 2, 2, 2, 1, 1, 1, 1, 1]"
311,1734,"[2, 1, 1, 1, 1]"
312,833,"[2, 2, 0, 0, 0, 0, 0]"
313,352,"[1, 1, 1, 1, 3, 3, 3, 3, 2, 1]"
314,2658,"[1, 3, 3, 3, 3, 0, 0, 0]"
315,3109,"[0, 0, 0, 0, 0, 2, 2, 2, 2, 1]"
316,2425,"[3, 3, 3, 3, 1, 1, 1, 1]"
317,456,"[3, 3, 1, 1, 1, 1, 1, 2, 2, 2, 0]"
318,2633,"[3, 3, 3, 3, 1, 1, 1, 1, 1]"
319,1859,[]
320,3004,"[1, 3, 3, 3, 3, 3, 0, 0]"
321,146,"[1, 1, 1, 1, 2, 2, 2, 1]"
322,2997,"[0, 3, 3, 3, 3, 0, 0]"
323,3143,"[3, 3, 1, 3, 3]"
324,932,"[1, 1, 3, 3, 3, 3]"
325,1651,"[0, 0, 0, 0, 0]"
326,2406,"[3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]"
327,2313,"[2, 2, 2, 2, 0, 2, 0, 0, 0, 3, 3]"
328,2020,"[2, 2, 0, 2, 2, 2]"
329,1920,"[0, 3, 3, 3, 3, 3]"
330,2389,"[1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0]"
331,551,"[1, 1, 1, 1, 1, 3, 3, 3, 3, 3]"
332,2729,"[3, 3, 1, 1, 1, 2, 2, 1]"
333,2523,"[1, 1, 3, 3, 3, 0, 3, 3, 0]"
334,2674,"[1, 1, 2, 2, 2, 2, 2]"
335,903,[]
336,610,"[0, 0, 0, 0, 0]"
337,1157,"[1, 2, 2, 2, 2, 0, 0, 0, 2]"
338,2902,"[2, 2, 2, 2, 0, 0, 0, 0, 2]"
339,1372,"[1, 1, 2, 1, 1, 1, 3, 3, 3]"
340,2405,"[3, 3, 3, 3, 1, 1]"
341,3234,"[3, 0, 0, 0, 3, 3, 3, 3]"
342,2665,"[0, 0, 0, 2, 2, 2, 2, 2, 1, 1, 3]"
343,2188,"[3, 3, 3, 0, 3]"
344,2438,"[3, 3, 3, 3, 3, 0]"
345,2246,"[0, 0, 3, 3, 3, 3, 1, 1]"
346,810,"[0, 0, 0, 0, 3]"
347,2806,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3]"
348,2785,"[0, 3, 3, 3, 0, 0, 0, 3, 3]"
349,1067,"[2, 2, 2, 2, 0, 2]"
350,1801,"[2, 2, 2, 2, 2]"
351,2762,[]
352,3219,"[3, 3, 3, 0, 0, 0, 0, 0]"
353,62,"[1, 1, 1, 1]"
354,927,"[1, 3, 3, 3, 3, 3, 1, 2]"
355,853,"[3, 3, 3, 1, 1, 1, 1, 2, 1, 2, 2]"
356,1075,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2]"
357,1842,"[2, 2, 2, 2, 2, 0]"
358,1769,"[1, 0, 0, 3, 3, 3, 3]"
359,81,"[3, 3, 3, 3, 0]"
360,950,"[1, 1, 1, 1, 3, 3, 3, 3, 3]"
361,865,"[1, 1, 1, 1, 1, 3, 3, 3, 3]"
362,1957,"[3, 0, 0, 3, 3, 3, 1]"
363,1776,"[0, 0, 0, 0, 2]"
364,611,"[3, 3, 3, 3, 0]"
365,342,"[0, 0, 0, 0, 0, 2, 2]"
366,940,"[0, 0, 2, 2, 2, 2, 0]"
367,924,[]
368,1632,"[0, 0, 3, 3, 3, 3, 3]"
369,213,"[2, 0, 0, 0, 2, 2, 2, 2]"
370,388,"[3, 3, 3, 3, 3, 0, 0, 0, 0]"
371,1114,"[3, 1, 1, 1, 3, 1, 3, 1, 3]"
372,495,"[2, 0, 0, 2, 0, 2, 0, 2]"
373,262,"[1, 3, 3, 0, 3, 3, 3, 1, 2]"
374,2047,"[2, 1, 2, 1, 2, 1, 2, 2]"
375,3148,"[3, 3, 1, 1, 1, 1, 1]"
376,1510,"[3, 3, 3, 3, 3]"
377,2866,"[1, 2, 1, 2, 3, 3, 1, 3, 3, 1]"
378,2739,"[1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 0, 0, 0, 0]"
379,325,"[3, 3, 3, 3, 1]"
380,437,"[3, 1, 3, 1, 3, 1, 1, 1]"
381,2602,"[3, 1, 3, 1, 3, 3, 3]"
382,1040,"[2, 1, 2, 2, 1, 1, 1, 2, 2]"
383,609,[]
384,1645,"[2, 2, 2, 2, 2]"
385,2660,"[0, 1, 1, 3, 3, 3, 3, 3]"
386,1767,"[1, 2, 2, 2, 2, 2]"
387,767,"[3, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]"
388,890,"[2, 0, 0, 0, 0, 0, 1, 3]"
389,346,"[1, 2, 2, 2, 2, 2]"
390,1192,"[1, 1, 1, 2, 2, 2, 2, 1]"
391,786,"[3, 3, 3, 3, 3, 0]"
392,2326,"[3, 1, 1, 1, 1, 2]"
393,29,"[1, 1, 1, 2, 2, 2, 2, 2]"
394,3226,"[0, 3, 3, 3, 3, 3]"
395,246,"[0, 2, 2, 2, 2, 0, 0]"
396,1975,"[2, 2, 2, 2, 2, 0]"
397,222,"[1, 1, 3, 3, 3, 3, 3, 0]"
398,2607,"[1, 2, 2, 2, 2]"
399,3031,[]
400,1647,"[1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 3]"
401,1439,"[2, 2, 2, 2, 2, 0, 0, 0, 0]"
402,632,"[1, 1, 1, 1, 3, 3, 3, 3]"
403,1783,"[0, 0, 3, 3, 0, 0, 3, 3, 3]"
404,2066,"[0, 0, 0, 0, 0, 3]"
405,2973,"[2, 2, 1, 1, 1, 1, 1, 3, 2]"
406,247,"[2, 2, 3, 0, 0, 0, 0, 3]"
407,2151,"[0, 3, 3, 3, 3, 3]"
408,180,"[3, 2, 2, 1, 1, 1, 1, 2]"
409,1028,"[2, 2, 2, 2, 1]"
410,2464,"[0, 0, 0, 2, 2, 0, 2]"
411,1627,"[1, 1, 3, 3, 3, 3, 3]"
412,2494,"[2, 3, 3, 1, 1, 1, 1]"
413,2570,"[1, 1, 2, 2, 2, 2, 2, 1, 3]"
414,367,"[2, 1, 1, 1, 1, 2, 2, 2, 2]"
415,3150,[]
416,1926,"[3, 3, 3, 3, 1, 1]"
417,1905,"[0, 0, 2, 2, 2, 2]"
418,2468,"[0, 0, 0, 0, 0, 3, 3, 3]"
419,100,"[1, 1, 1, 1, 1]"
420,2437,"[3, 3, 3, 3, 3, 1, 1, 1]"
421,1803,"[1, 3, 3, 3, 3, 3]"
422,2392,"[1, 3, 3, 3, 3, 3]"
423,60,"[3, 3, 0, 3, 3, 0, 0, 0, 0]"
424,432,"[1, 3, 3, 3, 3]"
425,290,"[1, 1, 1, 1, 2, 1, 2, 2, 0]"
426,1675,"[1, 1, 1, 1, 1, 2, 2]"
427,2464,"[2, 2, 2, 2]"
428,2473,"[0, 0, 3, 3, 3, 3]"
429,1020,"[0, 0, 0, 0]"
430,71,"[2, 2, 2, 2, 1, 1, 1, 1, 1]"
431,2985,[]
432,999,"[2, 2, 2, 2]"
433,827,"[3, 3, 3, 3, 3, 0, 0, 0]"
434,1754,"[2, 2, 2, 1, 1, 1, 2]"
435,1119,"[3, 3, 3, 1, 3]"
436,2950,"[0, 3, 3, 3, 3, 1, 1]"
437,26,"[0, 3, 3, 3, 3, 3, 0]"
438,500,"[3, 3, 3, 0, 0, 3, 3, 0, 0, 2]"
439,2361,"[3, 1, 1, 1, 3, 1, 3, 3]"
440,2707,"[3, 0, 0, 0, 0, 3]"
441,425,"[0, 0, 0, 0]"
442,2368,"[3, 3, 3, 3, 3, 1, 1, 1]"
443,1925,"[3, 3, 3, 3, 3, 0, 0]"
444,1722,"[3, 0, 0, 0, 2, 2, 2, 2, 2, 0]"
445,2447,"[0, 0, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1]"
446,2251,"[1, 1, 2, 2, 2, 2]"
447,2005,[]
448,1339,"[2, 2, 2, 2, 2, 1, 1, 1]"
449,2384,"[1, 1, 1, 1, 3]"
450,2362,"[2, 2, 1, 1, 1, 1, 1, 3]"
451,2556,"[0, 2, 2, 2, 2]"
452,2876,"[3, 3, 3, 3, 1, 3, 1, 1, 1]"
453,1335,"[3, 3, 3, 3, 3, 0]"
454,1905,"[0, 3, 3, 3, 3, 3, 1]"
455,693,"[1, 0, 0, 3, 3, 3, 3, 3, 0]"
456,774,"[3, 3, 1, 1, 1, 1, 3]"
457,2865,"[0, 2, 2, 0, 2, 2]"
458,1969,"[0, 0, 0, 0, 2, 2, 2]"
459,2837,"[2, 0, 2, 2, 2, 2, 0, 0, 0, 0]"
460,2129,"[2, 0, 2, 0, 0, 2, 2, 1]"
461,875,"[3, 3, 3, 3, 0, 0, 0, 0]"
462,2723,"[3, 3, 3, 3, 3, 1, 1, 1]"
463,2676,[]
464,2174,"[3, 3, 0, 0, 0, 0]"
465,1634,"[0, 0, 0, 0, 3, 3, 3, 3, 3]"
466,2132,"[3, 0, 0, 0, 0, 0]"
467,694,"[0, 2, 2, 2, 2, 1]"
468,2893,"[3, 0, 0, 0, 0, 0, 2, 2, 2]"
469,2985,"[3, 3, 3, 0, 0, 0, 0]"
470,6,"[0, 3, 3, 3, 3, 3, 0, 0, 0, 0]"
471,1560,"[3, 3, 3, 3, 0]"
472,1076,"[3, 3, 3, 3, 3, 0, 0]"
473,2928,"[2, 2, 2, 2, 0]"
474,269,"[2, 2, 2, 2, 1]"
475,1710,"[2, 2, 1, 1, 2, 2, 0, 2]"
476,2604,"[2, 2, 2, 1, 2, 1]"
477,1077,"[2, 2, 2, 0, 0, 0, 0]"
478,1741,"[3, 3, 3, 3, 3, 1]"
479,340,[]
480,1135,"[2, 2, 2, 2, 2, 1]"
481,2214,"[1, 1, 1, 1, 1, 2, 2, 2, 3]"
482,618,"[0, 0, 0, 0, 0, 3]"
483,3020,"[0, 0, 0, 0, 0, 3, 3, 3, 3]"
484,3224,"[3, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 0]"
485,682,"[1, 3, 1, 3, 1, 1, 1]"
486,2000,"[0, 0, 0, 0, 2, 2, 0]"
487,2471,"[1, 2, 2, 2, 2, 2]"
488,750,"[1, 3, 3, 3, 3, 1]"
489,3002,"[0, 0, 0, 0, 3, 3, 3, 3, 0]"
490,359,"[1, 1, 1, 1, 2]"
491,1166,"[1, 2, 2, 2, 2]"
492,1128,"[2, 2, 2, 2, 0, 0]"
493,416,"[3, 3, 3, 3]"
494,1484,"[1, 1, 3, 3, 3, 0, 3, 3]"
495,1871,[]
